迁出省份,迁出城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
江苏省,南京市,0.48,0.47,0.29,0.33,0.3,0.31,0.35,0.39,0.35,0.39,0.32,0.33,0.39,0.33,0.37,0.42,0.36,0.41,0.44,0.44,0.54,0.49,0.54,0.47,0.51,0.51,0.45,0.36,0.39
湖南省,衡阳市,0.41,0.45,0.28,0.33,0.3,0.3,0.35,0.36,0.34,0.36,0.32,0.32,0.39,0.33,0.36,0.42,0.35,0.41,0.42,0.38,0.54,0.48,0.53,0.46,0.5,0.49,0.44,0.35,0.36
河南省,周口市,0.39,0.45,0.26,0.29,0.29,0.29,0.34,0.35,0.32,0.34,0.31,0.32,0.37,0.32,0.35,0.39,0.32,0.39,0.41,0.37,0.52,0.45,0.52,0.45,0.46,0.49,0.44,0.35,0.35
安徽省,阜阳市,0.38,0.43,0.25,0.28,0.27,0.29,0.34,0.35,0.3,0.32,0.3,0.32,0.35,0.32,0.34,0.37,0.29,0.38,0.38,0.35,0.49,0.44,0.5,0.44,0.45,0.46,0.43,0.34,0.32
广西壮族自治区,桂林市,0.38,0.42,0.25,0.25,0.27,0.28,0.34,0.35,0.28,0.3,0.29,0.31,0.35,0.31,0.34,0.35,0.28,0.36,0.36,0.35,0.49,0.41,0.48,0.44,0.44,0.46,0.41,0.33,0.31
天津市,天津市,0.36,0.39,0.25,0.24,0.25,0.27,0.33,0.34,0.26,0.3,0.29,0.3,0.34,0.31,0.33,0.35,0.28,0.36,0.33,0.34,0.46,0.4,0.48,0.43,0.42,0.42,0.4,0.33,0.3
陕西省,西安市,0.33,0.38,0.25,0.23,0.24,0.27,0.32,0.34,0.24,0.29,0.28,0.3,0.32,0.31,0.32,0.34,0.28,0.35,0.33,0.32,0.43,0.38,0.46,0.42,0.41,0.42,0.39,0.33,0.28
江苏省,盐城市,0.32,0.37,0.25,0.23,0.24,0.25,0.29,0.3,0.23,0.28,0.27,0.29,0.32,0.31,0.26,0.32,0.26,0.35,0.3,0.32,0.4,0.37,0.42,0.4,0.41,0.4,0.39,0.32,0.28
河南省,许昌市,0.31,0.37,0.24,0.23,0.23,0.22,0.29,0.29,0.23,0.27,0.26,0.27,0.31,0.29,0.25,0.32,0.25,0.34,0.3,0.32,0.35,0.37,0.4,0.4,0.39,0.39,0.38,0.31,0.27
福建省,福州市,0.29,0.34,0.22,0.22,0.23,0.22,0.28,0.27,0.23,0.26,0.26,0.27,0.3,0.27,0.25,0.31,0.24,0.31,0.29,0.32,0.33,0.36,0.4,0.4,0.37,0.37,0.37,0.3,0.27
江西省,赣州市,0.29,0.34,0.21,0.21,0.22,0.22,0.27,0.27,0.22,0.25,0.26,0.26,0.29,0.27,0.24,0.28,0.24,0.3,0.28,0.31,0.3,0.35,0.38,0.39,0.35,0.36,0.34,0.3,0.26
湖南省,益阳市,0.28,0.34,0.21,0.2,0.21,0.22,0.26,0.26,0.22,0.23,0.25,0.25,0.28,0.25,0.22,0.28,0.23,0.29,0.27,0.31,0.3,0.35,0.36,0.39,0.34,0.36,0.34,0.28,0.25
