date,province,city,confirm,dead,heal
03.17,北京,崇文区,0,0,0
03.18,北京,崇文区,0,0,0
03.19,北京,崇文区,0,0,0
03.20,北京,崇文区,0,0,0
03.21,北京,崇文区,0,0,0
03.22,北京,崇文区,0,0,0
03.23,北京,崇文区,0,0,0
03.24,北京,崇文区,0,0,0
03.25,北京,崇文区,0,0,0
03.26,北京,崇文区,0,0,0
03.27,北京,崇文区,0,0,0
03.28,北京,崇文区,0,0,0
03.29,北京,崇文区,0,0,0
03.30,北京,崇文区,0,0,0
03.31,北京,崇文区,0,0,0
03.01,北京,密云县,4,0,0
03.02,北京,密云县,5,0,0
03.03,北京,密云县,6,0,0
03.04,北京,密云县,6,0,0
03.05,北京,密云县,7,0,7
03.06,北京,密云县,0,0,0
03.07,北京,密云县,0,0,0
03.08,北京,密云县,0,0,0
03.09,北京,密云县,0,0,0
03.10,北京,密云县,0,0,0
03.11,北京,密云县,0,0,0
03.12,北京,密云县,0,0,0
03.13,北京,密云县,0,0,0
03.14,北京,密云县,0,0,0
03.15,北京,密云县,0,0,0
03.16,北京,密云县,0,0,0
03.17,北京,密云县,0,0,0
03.18,北京,密云县,0,0,0
03.19,北京,密云县,0,0,0
03.20,北京,密云县,0,0,0
03.21,北京,密云县,0,0,0
03.22,北京,密云县,0,0,0
03.23,北京,密云县,0,0,0
03.24,北京,密云县,0,0,0
03.25,北京,密云县,0,0,0
03.26,北京,密云县,0,0,0
03.27,北京,密云县,0,0,0
03.28,北京,密云县,0,0,0
03.29,北京,密云县,0,0,0
03.30,北京,密云县,0,0,0
03.31,北京,密云县,0,0,0
03.01,北京,东城区,13,0,0
03.02,北京,东城区,13,0,0
03.03,北京,东城区,13,0,0
03.04,北京,东城区,13,0,0
03.05,北京,东城区,13,0,0
03.06,北京,东城区,13,0,0
03.07,北京,东城区,14,0,0
03.08,北京,东城区,14,0,0
03.09,北京,东城区,14,0,0
03.10,北京,东城区,14,0,0
03.11,北京,东城区,14,0,0
03.12,北京,东城区,14,0,0
03.13,北京,东城区,14,0,0
03.14,北京,东城区,14,0,0
03.15,北京,东城区,14,0,0
03.16,北京,东城区,14,0,0
03.17,北京,东城区,14,0,0
03.18,北京,东城区,14,0,0
03.19,北京,东城区,14,0,0
03.20,北京,东城区,14,0,0
03.21,北京,东城区,14,0,0
03.22,北京,东城区,14,0,0
03.23,北京,东城区,14,0,0
03.24,北京,东城区,14,0,0
03.25,北京,东城区,14,0,0
03.26,北京,东城区,14,0,0
03.27,北京,东城区,14,0,0
03.28,北京,东城区,14,0,0
03.29,北京,东城区,14,0,0
03.30,北京,东城区,14,0,0
03.31,北京,东城区,14,0,0
03.01,北京,门头沟区,3,0,0
03.02,北京,门头沟区,3,0,0
03.03,北京,门头沟区,3,0,0
03.04,北京,门头沟区,3,0,0
03.05,北京,门头沟区,3,0,0
03.06,北京,门头沟区,3,0,0
03.07,北京,门头沟区,3,0,0
03.08,北京,门头沟区,3,0,0
03.09,北京,门头沟区,3,0,0
03.10,北京,门头沟区,3,0,0
03.11,北京,门头沟区,3,0,0
03.12,北京,门头沟区,3,0,0
03.13,北京,门头沟区,3,0,0
03.14,北京,门头沟区,3,0,0
03.15,北京,门头沟区,5,0,3
03.16,北京,门头沟区,0,0,0
03.17,北京,门头沟区,0,0,0
03.18,北京,门头沟区,0,0,0
03.19,北京,门头沟区,0,0,0
03.20,北京,门头沟区,0,0,0
03.21,北京,门头沟区,0,0,0
03.22,北京,门头沟区,0,0,0
03.23,北京,门头沟区,0,0,0
03.24,北京,门头沟区,0,0,0
03.25,北京,门头沟区,0,0,0
03.26,北京,门头沟区,0,0,0
03.27,北京,门头沟区,0,0,0
03.28,北京,门头沟区,0,0,0
03.29,北京,门头沟区,0,0,0
03.30,北京,门头沟区,0,0,0
03.31,北京,门头沟区,0,0,0
03.01,北京,平谷区,0,0,0
03.02,北京,平谷区,0,0,0
03.03,北京,平谷区,0,0,0
03.04,北京,平谷区,0,0,0
03.05,北京,平谷区,0,0,0
03.06,北京,平谷区,0,0,0
03.07,北京,平谷区,0,0,0
03.08,北京,平谷区,0,0,0
03.09,北京,平谷区,0,0,0
03.10,北京,平谷区,0,0,0
03.11,北京,平谷区,0,0,0
03.12,北京,平谷区,0,0,0
03.13,北京,平谷区,0,0,0
03.14,北京,平谷区,0,0,0
03.15,北京,平谷区,0,0,0
03.16,北京,平谷区,0,0,0
03.17,北京,平谷区,0,0,0
03.18,北京,平谷区,0,0,0
03.19,北京,平谷区,0,0,0
03.20,北京,平谷区,0,0,0
03.21,北京,平谷区,0,0,0
03.22,北京,平谷区,0,0,0
03.23,北京,平谷区,0,0,0
03.24,北京,平谷区,0,0,0
03.25,北京,平谷区,0,0,0
03.26,北京,平谷区,0,0,0
03.27,北京,平谷区,0,0,0
03.28,北京,平谷区,0,0,0
03.29,北京,平谷区,0,0,0
03.30,北京,平谷区,0,0,0
03.31,北京,平谷区,0,0,0
03.01,广东,东莞市,99,1,63
03.02,广东,东莞市,99,1,63
03.03,广东,东莞市,99,1,74
03.04,广东,东莞市,99,1,82
03.05,广东,东莞市,99,1,86
03.06,广东,东莞市,99,1,88
03.07,广东,东莞市,99,1,92
03.08,广东,东莞市,99,1,95
03.09,广东,东莞市,99,1,96
03.10,广东,东莞市,100,1,96
03.11,广东,东莞市,100,1,96
03.12,广东,东莞市,100,1,96
03.13,广东,东莞市,100,1,96
03.14,广东,东莞市,100,1,97
03.15,广东,东莞市,100,1,97
03.16,广东,东莞市,100,1,97
03.17,广东,东莞市,100,1,97
03.18,广东,东莞市,100,1,98
03.19,广东,东莞市,100,1,98
03.20,广东,东莞市,100,1,98
03.21,广东,东莞市,100,1,99
03.22,广东,东莞市,100,1,99
03.23,广东,东莞市,100,1,99
03.24,广东,东莞市,100,1,99
03.25,广东,东莞市,99,1,99
03.26,广东,东莞市,99,1,98
03.27,广东,东莞市,99,1,99
03.28,广东,东莞市,100,1,0
03.29,广东,东莞市,99,1,98
03.30,广东,东莞市,99,1,98
03.31,广东,东莞市,99,1,98
03.01,广东,广州市,346,1,260
03.02,广东,广州市,346,1,264
03.03,广东,广州市,346,1,271
03.04,广东,广州市,346,1,283
03.05,广东,广州市,347,1,292
03.06,广东,广州市,347,1,309
03.07,广东,广州市,347,1,318
03.08,广东,广州市,347,1,321
03.09,广东,广州市,347,1,322
03.10,广东,广州市,347,1,324
03.11,广东,广州市,347,1,326
03.12,广东,广州市,347,1,326
03.13,广东,广州市,347,1,330
03.14,广东,广州市,347,1,330
03.15,广东,广州市,347,1,330
03.16,广东,广州市,347,1,330
03.17,广东,广州市,347,1,330
03.18,广东,广州市,347,1,331
03.19,广东,广州市,347,1,332
03.20,广东,广州市,347,1,334
03.21,广东,广州市,347,1,335
03.22,广东,广州市,348,1,335
03.23,广东,广州市,348,1,335
03.24,广东,广州市,348,1,336
03.25,广东,广州市,348,1,337
03.26,广东,广州市,348,1,339
03.27,广东,广州市,348,1,338
03.28,广东,广州市,348,1,340
03.29,广东,广州市,348,1,340
03.30,广东,广州市,348,1,339
03.31,广东,广州市,348,1,339
03.01,广东,中山市,66,0,59
03.02,广东,中山市,66,0,59
03.03,广东,中山市,66,0,60
03.04,广东,中山市,66,0,61
03.05,广东,中山市,66,0,62
03.06,广东,中山市,66,0,62
03.07,广东,中山市,66,0,62
03.08,广东,中山市,66,0,62
03.09,广东,中山市,66,0,62
03.10,广东,中山市,66,0,62
03.11,广东,中山市,66,0,63
03.12,广东,中山市,68,0,64
03.13,广东,中山市,68,0,64
03.14,广东,中山市,68,0,64
03.15,广东,中山市,68,0,64
03.16,广东,中山市,68,0,64
03.17,广东,中山市,68,0,64
03.18,广东,中山市,68,0,66
03.19,广东,中山市,68,0,66
03.20,广东,中山市,68,0,66
03.21,广东,中山市,68,0,66
03.22,广东,中山市,68,0,66
03.23,广东,中山市,68,0,66
03.24,广东,中山市,68,0,66
03.25,广东,中山市,66,0,66
03.26,广东,中山市,66,0,66
03.27,广东,中山市,66,0,66
03.28,广东,中山市,68,0,0
03.29,广东,中山市,66,0,66
03.30,广东,中山市,66,0,66
03.31,广东,中山市,66,0,66
03.01,广东,深圳市,417,3,308
03.02,广东,深圳市,417,3,320
03.03,广东,深圳市,417,3,332
03.04,广东,深圳市,417,3,341
03.05,广东,深圳市,417,3,350
03.06,广东,深圳市,417,3,358
03.07,广东,深圳市,417,3,361
03.08,广东,深圳市,417,3,368
03.09,广东,深圳市,417,3,373
03.10,广东,深圳市,417,3,381
03.11,广东,深圳市,417,3,387
03.12,广东,深圳市,417,3,392
03.13,广东,深圳市,417,3,395
03.14,广东,深圳市,417,3,396
03.15,广东,深圳市,417,3,399
03.16,广东,深圳市,417,3,401
03.17,广东,深圳市,417,3,402
03.18,广东,深圳市,417,3,403
03.19,广东,深圳市,417,3,407
03.20,广东,深圳市,417,3,409
03.21,广东,深圳市,417,3,410
03.22,广东,深圳市,417,3,410
03.23,广东,深圳市,417,3,410
03.24,广东,深圳市,417,3,414
03.25,广东,深圳市,417,3,414
03.26,广东,深圳市,417,3,414
03.27,广东,深圳市,417,3,414
03.28,广东,深圳市,417,3,414
03.29,广东,深圳市,417,3,414
03.30,广东,深圳市,417,3,414
03.31,广东,深圳市,417,3,414
03.01,广东,惠州市,62,0,58
03.02,广东,惠州市,62,0,60
03.03,广东,惠州市,62,0,60
03.04,广东,惠州市,62,0,62
03.05,广东,惠州市,62,0,62
03.06,广东,惠州市,62,0,62
03.07,广东,惠州市,62,0,62
03.08,广东,惠州市,62,0,62
03.09,广东,惠州市,62,0,62
03.10,广东,惠州市,62,0,62
03.11,广东,惠州市,62,0,62
03.12,广东,惠州市,62,0,62
03.13,广东,惠州市,62,0,62
03.14,广东,惠州市,62,0,62
03.15,广东,惠州市,62,0,62
03.16,广东,惠州市,62,0,62
03.17,广东,惠州市,62,0,62
03.18,广东,惠州市,62,0,62
03.19,广东,惠州市,62,0,62
03.20,广东,惠州市,62,0,62
03.21,广东,惠州市,62,0,62
03.22,广东,惠州市,62,0,62
03.23,广东,惠州市,62,0,62
03.24,广东,惠州市,62,0,62
03.25,广东,惠州市,62,0,62
03.26,广东,惠州市,62,0,62
03.27,广东,惠州市,62,0,62
03.28,广东,惠州市,62,0,0
03.29,广东,惠州市,62,0,62
03.30,广东,惠州市,62,0,62
03.31,广东,惠州市,62,0,62
03.01,广东,江门市,23,0,14
03.02,广东,江门市,23,0,14
03.03,广东,江门市,23,0,14
03.04,广东,江门市,23,0,19
03.05,广东,江门市,23,0,20
03.06,广东,江门市,23,0,22
03.07,广东,江门市,23,0,22
03.08,广东,江门市,23,0,22
03.09,广东,江门市,23,0,23
03.10,广东,江门市,23,0,23
03.11,广东,江门市,23,0,23
03.12,广东,江门市,23,0,23
03.13,广东,江门市,23,0,23
03.14,广东,江门市,23,0,23
03.15,广东,江门市,23,0,23
03.16,广东,江门市,23,0,23
03.17,广东,江门市,23,0,23
03.18,广东,江门市,23,0,23
03.19,广东,江门市,23,0,23
03.20,广东,江门市,23,0,23
03.21,广东,江门市,23,0,23
03.22,广东,江门市,23,0,23
03.23,广东,江门市,23,0,23
03.24,广东,江门市,23,0,23
03.25,广东,江门市,23,0,23
03.26,广东,江门市,23,0,23
03.27,广东,江门市,23,0,23
03.28,广东,江门市,23,0,0
03.29,广东,江门市,23,0,23
