迁入省份,迁入城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
贵州省,铜仁市,0.4,0.4,0.38,0.35,0.33,0.34,0.37,0.42,0.41,0.45,0.37,0.42,0.42,0.36,0.34,0.4,0.35,0.36,0.37,0.45,0.44,0.47,0.42,0.37,0.43,0.4,0.37,0.4,0.38
河南省,新乡市,0.38,0.39,0.36,0.35,0.32,0.32,0.37,0.39,0.4,0.43,0.36,0.42,0.41,0.35,0.33,0.38,0.34,0.35,0.37,0.45,0.43,0.47,0.39,0.37,0.41,0.39,0.37,0.37,0.37
四川省,巴中市,0.38,0.38,0.36,0.34,0.32,0.29,0.36,0.39,0.39,0.41,0.35,0.4,0.41,0.35,0.33,0.37,0.32,0.34,0.36,0.44,0.42,0.45,0.39,0.36,0.37,0.39,0.36,0.37,0.36
湖南省,益阳市,0.36,0.36,0.36,0.32,0.31,0.29,0.34,0.37,0.37,0.4,0.34,0.38,0.4,0.35,0.31,0.37,0.3,0.34,0.36,0.44,0.42,0.43,0.36,0.36,0.36,0.37,0.36,0.37,0.35
山东省,菏泽市,0.36,0.36,0.35,0.32,0.31,0.28,0.32,0.37,0.37,0.38,0.32,0.37,0.34,0.33,0.3,0.36,0.3,0.34,0.36,0.41,0.41,0.41,0.34,0.34,0.36,0.37,0.32,0.36,0.35
云南省,昭通市,0.35,0.36,0.35,0.3,0.31,0.27,0.3,0.36,0.37,0.36,0.32,0.37,0.32,0.33,0.3,0.34,0.29,0.34,0.35,0.4,0.38,0.41,0.34,0.33,0.34,0.37,0.31,0.34,0.34
福建省,福州市,0.35,0.34,0.34,0.3,0.31,0.27,0.3,0.34,0.37,0.36,0.3,0.36,0.31,0.31,0.3,0.32,0.29,0.33,0.34,0.38,0.38,0.39,0.34,0.33,0.32,0.35,0.31,0.34,0.33
河南省,许昌市,0.33,0.34,0.34,0.28,0.3,0.27,0.28,0.34,0.36,0.36,0.3,0.36,0.31,0.31,0.3,0.31,0.28,0.33,0.33,0.38,0.38,0.38,0.34,0.33,0.31,0.35,0.3,0.32,0.32
湖南省,衡阳市,0.33,0.33,0.33,0.27,0.29,0.27,0.27,0.33,0.34,0.35,0.3,0.35,0.3,0.3,0.29,0.3,0.27,0.32,0.33,0.36,0.37,0.38,0.33,0.32,0.31,0.34,0.29,0.31,0.32
河北省,石家庄市,0.32,0.33,0.33,0.27,0.29,0.27,0.26,0.33,0.33,0.35,0.29,0.35,0.3,0.29,0.29,0.3,0.26,0.31,0.28,0.35,0.36,0.36,0.33,0.3,0.31,0.33,0.29,0.31,0.32
河北省,邯郸市,0.32,0.32,0.31,0.26,0.28,0.25,0.26,0.33,0.32,0.35,0.28,0.34,0.3,0.28,0.28,0.3,0.25,0.31,0.27,0.34,0.36,0.35,0.3,0.3,0.31,0.32,0.29,0.31,0.31
陕西省,渭南市,0.31,0.3,0.31,0.25,0.28,0.24,0.26,0.32,0.32,0.35,0.27,0.33,0.29,0.27,0.27,0.29,0.25,0.29,0.27,0.34,0.34,0.35,0.3,0.29,0.3,0.32,0.29,0.3,0.31
贵州省,贵阳市,0.31,0.3,0.3,0.25,0.26,0.23,0.26,0.29,0.3,0.34,0.27,0.33,0.28,0.27,0.27,0.29,0.25,0.29,0.27,0.33,0.33,0.34,0.3,0.29,0.3,0.31,0.28,0.3,0.31
